DataRotation: 92 0 16
RootCenter: 315.6 117.3 -130.8
DataDimension: 682 406 130
Id X Y Z T Precursors Lineage CellFile Layer DivType
187 418.591 135.431 51 97 "{3,186}" 3 -1 1 -
187 406.603 142.757 52 168 "{3,186}" 3 -1 1 0
188 409.267 118.115 51 97 "{3,186}" 3 -1 2 -
188 409.933 116.783 58 215 "{3,186}" 3 -1 2 0
189 417.925 112.121 58 216 "{3,186,188}" 3 -1 2 -
189 417.259 124.109 58 350 "{3,186,188}" 3 -1 2 -
190 402.606 120.779 58 216 "{3,186,188}" 3 -1 2 -
190 393.948 131.435 60 350 "{3,186,188}" 3 -1 2 -
191 415.927 136.763 52 169 "{3,186,187}" 3 -1 1 -
191 433.909 154.08 58 307 "{3,186,187}" 3 -1 1 1
192 397.944 144.755 52 169 "{3,186,187}" 3 -1 1 -
192 395.946 154.08 57 232 "{3,186,187}" 3 -1 1 1
193 397.278 162.072 57 233 "{3,186,187,192}" 3 -1 3 -
193 399.276 173.394 54 320 "{3,186,187,192}" 3 -1 3 2
194 393.948 145.421 57 233 "{3,186,187,192}" 3 -1 4 -
194 397.278 154.08 59 350 "{3,186,187,192}" 3 -1 4 -
195 393.948 171.396 51 321 "{3,186,187,192,193}" 3 -1 3 -
195 393.948 170.064 49 350 "{3,186,187,192,193}" 3 -1 3 -
196 401.94 179.388 58 321 "{3,186,187,192,193}" 3 -1 3 -
196 408.601 180.054 58 350 "{3,186,187,192,193}" 3 -1 3 -
197 443.233 140.093 58 308 "{3,186,187,191}" 3 -1 4 -
197 433.243 138.761 58 350 "{3,186,187,191}" 3 -1 4 -
198 433.243 161.406 58 308 "{3,186,187,191}" 3 -1 3 -
198 431.245 158.742 54 350 "{3,186,187,191}" 3 -1 3 -
199 533.812 76.1558 48 88 "{3,185}" 3 -1 0 -
199 612.401 40.8569 53 350 "{3,185}" 3 -1 0 -
200 508.503 88.144 48 88 "{3,185}" 3 -1 0 -
200 477.866 110.123 58 309 "{3,185}" 3 -1 0 1
201 475.868 104.794 58 310 "{3,185,200}" 3 -1 2 -
201 483.194 94.8042 57 350 "{3,185,200}" 3 -1 2 -
202 478.532 119.447 58 310 "{3,185,200}" 3 -1 1 -
202 485.858 124.109 57 350 "{3,185,200}" 3 -1 1 -
203 663.019 10.2202 51 66 {5} 5 0 0 -
203 678.337 5.55811 67 350 {5} 5 0 0 -
204 639.042 18.2124 51 66 {5} 5 0 0 -
